ای ذروه لامکان مکانت 	معراج ملایک آستانت 
سلطانی و عرش تکیه‌گاهت 	خورشیدی و ابر سایه‌بانت 
طاقی است فلک ز بارگاهت	مرغی است ملک ز آشیانت 
کوثر عرقی است از جبینت 	طوبی ورقی ز بوستانت 
فرزند نخست فطرتی تو 	طفلی است طفیل آسمانت 
هر چند که پرورید تقدیر 	در آخر دامن الزمانت 
آن قرطه مه که چارده شب 	خور دوخت شکافته بنانت 
تو خانه شرع را چراغی 	عالم همه روشن از زبانت 
تو گنج دو عالمی از آن رو 	کردند به خاک در نهانت 
از توست صلات در حق ما 	و ز ما صلوات بر روانت 
بابای شفیق هر دو عالم 	فرزند خلف ترین آدم 
او خاتم انبیاست زان سنگ 	بر سینه ببست همچو خاتم 
ای پیرو و تو کلیم عمران 	وی پیشروت مسیح مریم 
در ذیل محمدی زد این دست 	در دولت احمدی زد آن دم 
زان شد دم او چنین مبارک 	زان شد کف آن چنان مکرم 
از عیسی مریمی موخر 	بر عالم و آدمی مقدم 
سلطان دو عالمی و هستت 	ملک ازل و ابد مسلم 
باغی است فضای کبریایت 	بیرون ز ریاض سبز طارم 
از هر ورقش چو طاق خضرا 	آویخته صد هزار شبنم 
عقلی تو بلی ولی مصور 	روحی تو بلی ولی مجسم 
تو بحری و هر دو کون خاشاک 	خاشاک و درون بحر حاشاک 
زد معجزه‌ات شب ولادت 	بر طاق سرای کسر وی چاک 
رفت آتش کفر پارس بر باد 	شد آب سیاه ساوه در خاک 
در دیده همتت نیاید 	دریای جهان به نیم خاشاک 
تو بحر حقیقی و از آنرو 	داری لب خشک و چشم نمناک 
با سیر براق تو چو صخره 	سنگی شده پای برق چالاک 
از طبع تو زاده است دریا 	وز نسبت توست گوهرش پاک 
این دلق هزار میخ نه تو 	پوشیده به خانقاهت افلاک 
مردود تو شد نبیره رز 	زین است سرشک دیده تاک 
ای سدره ستون بارگاهت 	کونین غبار خاک راهت 
کردی نه و هفت و چار را ترک 	آن روز که فقر شد هلاکت 
نه چرخ هزار دانه گردان 	در حلقه ذکر خانقاهت 
مهر و فلک است از برایت 	ملک و ملک است در پناهت 
در چشم محققان خیالیست 	نقش دو جهان ز کارگاهت 
از منزلت سپهر نازل 	و ز مسکنت است اوج جاهت 
ترکان سفید روی بلغار 	هندوی دو نرگس سیاهت 
ذی اجنحه لشکر جنایت 	قلب فقرا بود سپاهت 
ما مجرم و عاصییم و داریم 	امید یه لطف عذر خواهت 
با آنکه هزار کوه کاه است 	با صر صر قهر کوه کاهت 
چیزی تو شنیده‌ای و دیده 	نا دیده کسی و نا شنیده 
تا حشر کسی که مثل او نیست 	مثل تو کسی نیافریده 
در عین سفیدی و سیاهی 	ذات تو خرد چو نور دیده 
قهر تو حجاب عنکبوتی 	بر دیده دشمنان تنیده 
گیتی که نیافت سایه‌ات را 	در سایه توست پروریده 
روزی که شرار شرک اشراک 	هر دم ز سر سنان جهیده 
ز آنجا که ز کیش مارمیتت 	مرغان چهار پر، پریده 
هر دم مدد سپاه نصرت 	از ینصرک امدات رسیده 
آن از کرم تو دیده حیه 	کانگشت ز حیرتت گزیده 
با آنکه تو راست سد ره منزل 	با قدر تو منزلی است نازل 
عالم همه حق توست و هر چیز 	کان حق تو نیست هست باطل 
آنجا که براق عزم رانده 	افتاده خر مسیح در گل 
دین تو به قوت نبوت 	ذات تو به معجز دلایل 
بر کنده ز جای کفر خیبر 	افکنده به چاه سحر بابل 
آن بحر حقیقی که آن را 	نه غور پدید شد نه ساحل 
در ملک تو صد چو مصر جامع 	در کوی تو صد چو نیل سایل 
در ملک قلوب مشرکان رمح 	از کد یمین توست عامل 
ماهی است رخت که نیستش نقص 	سروی است قدت که نیستش ظل 
