طالع از طالعت عجایب‌تر	کس ندیدی عجایب دیگر
گه به چرخت برد چو قصد دعا	گه به خاک آردت چو عزم قدر
گه به دستت ببندد از دل پای	گه به مهرت ببندد از دل سر
گه برهنه‌ت کند چو آبان شاخ	گه بپوشاندت چو آب شجر
شجری کرد مر ترا از فضل	پس بگسترد پیشت از آن بر
قوتی دارد این سخن بی فعل	زینتی دارد این چمن بی فر
زان که مر آفتاب دولت را	هست روزی درین درخت نظر
تا نبیند ازو عدوت نشان	تا ببیند ازو ولیت ثمر
کرده علمت فلک نمونهٔ جهل	کرده نفعت جهان نتیجهٔ ضر
سخنی گویمت برادروار	گر نیوشی و داریم باور
عبره کرده سپهر حکمت را	چون نگیری ز روزگار عبر
در خرابات کم گذر چونه‌ای	چون مزاج شراب آلت شر
مکن از کعبتین نرد و قدح	با «له» و «منک» عمر خویش هدر
چون همی بازی و همی مانی	بخت بد را بباز بر اختر
پیش هر دون مکن چو چنبر پشت	پای هر سفله را مگیر چو در
که میانه تهی‌ست گاه سخا	سخن دون و سفله چون چنبر
نزد دونان حدیث می مگذار	پیش حران ز جام می مگذر
تا نباشی برین سبک چون جان	تا نباشی بر آن گران چو جگر
یار دونان همی بوی چون جهل	عاقلان زان کنند از تو حذر
یکسو افکن ز طبع بی نفسی	تات باشد چو روح قدر و خطر
دانی از عیبها چو غیب عیان	داری از علمها چو عقل خبر
نعمتت نی و همتت بی حد	دولتت نی و حکمتت بی مر
حکمتت را ز فکر تست مزاج	خاطرت را ز دانشست گهر
دوری از جهل همچو علم علی	پاکی از جور همچو عدل عمر
شعر تو سحر هست لیک ترا	بخت تو هست همچو وقت سحر
ماند اندیشهٔ تو زیر قدم	گهر طبع تو چو اسکندر
ز آب انگور نار طبع مکش	ز آتش باده آب روی مبر
سوی بالا گرای همچو شرار	گرد پستی مگرد همچو مطر
خامه هر جای چون قضا به مباز	جامه هر وقت چون قدر به مدر
همچو نکبا ازین وآن مربای	همچو نرگس در این و آن منگر
ز اندرون کژ مباش چون زنجیر	تا نمانی برون چو حلقهٔ در
هر بنان را مباش همچو قلم	هر میان را مباش همچو کمر
گرد حران در آی همچو سخای	سوی مردان گرای همچو هنر
نزد ایشان مباش چون کاسه	پیش ایشان مگرد چون ساغر
تن خویش از سر کهان در دزد	جان خویش از می مهان پرور
گر چه فسقست هر دو ز اصل ولیک	هم بجای خود آخر اولاتر
اینک ار چه به طبع یکسانند	در تفاوت به یک مکان بنگر
گشته با باد سخت خانهٔ خیر	مانده بی آب سست آلت غر
طبع داری نهادهٔ گردون	نظم داری نتیجهٔ کوثر
خاطری در نثار چون دریا	فکرتی تیز رای چون آذر
چه شد ار هست ظاهرت عریان	باطنت دارد از هنر زیور
از برون گر چه هست عریان بحر	از درون هست فرشش از گوهر
کمر گوهرین کجا یابی	چون دو سر نیستی چو دو پیکر
زان زیادت پذیری و نقصان	که تو یک رویه‌ای بسان قمر
بی زر و سیمی ای برادر از آنک	شوخ چشمیت نیست چون عبهر
چشمهٔ خور چو می بپوشد ابر	نه برهنه بهست چشمهٔ خور
بصر حکمتی برهنه بهی	زان که پوشیده نیک نیست بصر
هستی ای تاج عصر میر سخن	از دلیل و حدیث پیغمبر
لیکن این آبگون آتش بار	کردت از خاک تخت و باد افسر
زان چنینست جامهٔ جانت	که تو آب و هوایی از رخ و فر
پس نه آب و هوای صافی راست	تختش از خاک و خانه از صرصر
لقبت گر چه هست زشت حسن	هستی از هر چه هست نیکوتر
خادمانند نامشان کافور	لیک رخشان سیه‌تر از عنبر
مهر بهتر ز ماه لیک به لفظ	ماده آمد یکی و دیگر نر
چنگ در شاخ هر مهی میزن	تو چه دانی ز بخت «بوک» و «مگر»
باشد از نار طبع یابی نور	باشد از شاخ فضل یابی بر
ورنه بگذار زان که می‌گذرد	خیر چون شر و منفعت چون ضر
چون تو دانا بسیست گرد جهان	تنگدل زین سپهر پهناور
آن حسن را به زهر کشت مدار	تو مدار از زمانه طعم شکر
تا همی چرخ پیر عمر خورد	از جوانی و عمر خود برخور
