روزگاریست که کان گهرند	اندرین وقت همه بی‌سنگان
بی‌بنان گشته همه بیداران	بیسران مانده همه سرهنگان
همه خردان بزرگ‌اندیشان	همه پستان دراز آهنگان
همه بیدستان در وقت دهش	باز گاه ستدن با چنگان
از چنین مردم نیکو سیرت	گوی بردند همه با رنگان
آنکه یک ماجره دارد در شیر	بیم از آن نیست به خانه لنگان
کودکان با خر و با اسب شدند	ما پیاده همه لنگان لنگان
فاخره دارد شیرینی و بس	تیز بر سبلت سبز آرنگان
هر کرا نیست سر موزه فراخ	چون من و تو بود از دلتنگان
هر که با شرم و حفاظست کنون	هست در خدمتشان چون گنگان
از سر همت و پاک اصلی خویش	ننگ می‌دارم از این بی‌ننگان
در خشو گادن اگر اقبالست	در ره و مذهب با فرهنگان
کار بس یوسف در گر دارد	تیز در ریش سحاق سنگان
