هرکه خواهد ولایت تجرید	وآنکه جوید هدایت توحید
از درونش نماید آسایش	وز برونش نباشد آرایش
آن ستایش که از نمایش اوست	ترک آرایش و ستایش اوست
بر درِ شه گدای نان خواهد	باز عاشق غذای جان خواهد
عاشقان جان و دل فدا کردند	ذکر او روز و شب غذا کردند
در طریقت مجرد و چالاک	داده بر باد آب و آتش و خاک
زانکه در عرصهٔ معالم عصر	چه برش جاهلان چه عالم عصر
ای برادر بر آذر تجرید	جگر خود کباب دان نه ثرید
سگ دون‌همت استخوان جوید	پنجهٔ شیر مغز جان جوید
مرد عالی همم نخواهد بند	سگ بود سگ به لقمه‌ای خرسند
قصه کم‌گوی و عاجزی پیش آر	استخوان را تو با سگان بگذار
تو به گوهر گرفته‌ای رفعت	پس چرا چون سگی تو دون همت
هرکه را عالیست همّت او	هر دو عالم شده‌ست نعمت او
وآنکه دون همتست همچون سگ	هست چون سگ ز بهر نان در تگ
کشف اگر بند گرددت بر تن	کشف را کفش‌ساز و بر سر زن
گر همی روح خواهی از تن فرد	لا چو داراست گِرد او برگرد
کی ز لاهوت خود بیابی بار	تات ناسوت بر نشد بردار
با تو و بود تو خرد تیره‌ است	چشم غفلت از آن جهان خیره است
زانکه عیسیت را سوی لاهوت	هست در راه جمعة‌الصلبوت
نیست کن هرچه راه و رای بود	تات دل خانهٔ خدا بود
تا ترا بود با تو در ذاتست	کعبه با طاعتت خراباتست
ور ز ذات تو بود تو دورست	بتکده از تو بیت معمورست
ای خرابات جوی پر آفات	پسر خر تویی و خر آبات
نفس تست آنکه کفر و دین آورد	لاجرم چشم رنگ بین آورد
بی‌تو خوش با تو هست بس ناخوش	به در اندازد خواجه گربه ز کش
در قدم کفرها و دینها نیست	در صفاء صفت چنینها نیست
