ای روان همه تنومندان	آرزو بخش آرزومندان
تو کنی فعل من نکو در من	مهربان‌تر ز من تویی بر من
رحمتت را کرانه پیدا نیست	نعمتت را میانه پیدا نیست
آنچه بدهی به بنده دینی ده	با رضای خودش قرینی ده
دلم از یاد قدس دین خوش کن	نسبت باد و خاکم آتش کن
از تو بخشودنست و بخشیدن	وز من افتادنست و شخشیدن
من نیم هوشیار مستم گیر	من بلخشیده‌ام تو دستم گیر
از تو دانم یقین که مستورم	پرده‌پوشیت کرده مغرورم
راندهٔ سابقت ندانم چیست	خواندهٔ خاتمت ندانم کیست
عاجزم من ز خشم و خوشنودیت	نکند نیز لابه‌ام سودیت
دل گمراه گشت انابت جوی	مردم دیده شد جنابت شوی
دل گمراه را رهی بنمای	مردم دیده را دری بگشای
که ننازد ز کارسازی تو	که بترسد ز بی‌نیازی تو
ای به رحمت شبان این رمه تو	چه حدیثست ای تو ای همه تو
ای یکی خدمت ستانه‌ت را	گرگ و یوسف نگارخانه‌ت را
تو ببخشای بر گِل و دل ما	که بکاهد غم دل از گِل ما
تو نوازم که دیگران زُفتند	تو پذیرم که دیگران گفتند
چه کنم با جز از تو هم نفسی	مرده ایشان مرا تو یار بسی
چه کنم زحمت تویی و دویی	چون یقین شد که من منم تو تویی
چه کنم با تو تفّ و دود همه	چون تو هستی باد بود همه
باد نعمای تست بود جهان	ای زیان تو به که سود جهان
من ندانم که آن چه کس باشد	کز تو او را بخیره بس باشد
کس بود زنده بی‌عنایت تو	یا توان زیست بی‌رعایت تو
آنکه با تست سوزکی دارد	وآنکه بی‌تست روزکی دارد
آنچه گفتی مخور بخوردم من	وآنچه گفتی مکن بکردم من
با تو باشم درست شش دانگم	بی‌تو باشم ز آسیا بانگم
از غمِ مرگ در زحیرم من	جان من باش تا نمیرم من
چه فرستی حدیث و تیغ به من	من کیم از تو ای دریغ به من
با قبول تو ای ز علّت پاک	چبود خوب و زشت مشتی خاک
خاک را خود محل آن باشد	کز ثنای تواش زبان باشد
عزّ تو ذلّ خاک را برداشت	خاک را تا به عرش سربفراشت
گر ندادی کلام دستوری	که برد نامت از سرِ دوری
خلق را هیچ زهره آن بودی	که ترا بر مجاز بستودی
چه گشاید ز عقل و مستی ما	که مه ما و مه بود و هستی ما
به خودی‌مان کن از بدیها پاک	چه بود پیش پاک مُشتی خاک
بیش حکمت خود ار خرد باشم	من که باشم که نیک و بد باشم
بد ما نیک شد چو پذرفتی	بد شود نیک ما چو نگرفتی
بدو نیکم همه تویی یارب	وز تو خود بد نیاید اینت عجب
آن کسی بد کند که بدکارست	از تو نیکی همه سزاوارست
نیک خواهی به بندگان یکسر	بندگان را خود از تو نیست خبر
اندرین پردهٔ هوا و هوس	جهل ما عذرخواه علم تو بس
گر سگی کرده‌ایم اندر کار	نه تو شیری گرفته‌ای بگذار
بر درِ فضل و حضرت جودت	بهر انجاز لطف موعودت
آنچه نسبت به تست توفیرست	وآنچه از فعل ماست تقصیر است
