عندلیبان باغ آن خوشبوی	در ترنّم تبارک‌الله گوی
بر زمان حکم چون شهان کرده	بر زمین نان چو بندگان خورده
نان جو خورده همچو مختصران	پس کشیده ز حلم بارِ گران
خَلق را خُلق او نویدگرست	نور ماه از جمال جرم خورست
گنج همسایه بُد دل پاکش	رنج سایه نبود بر خاکش
صد هزار آه زو شنیده حری	نه الفـ بود در میانه نه هی
جبرئیل آمده ز سدره برش	بوده سوگند صعب حق به سرش
جز از او کس نبود در بشری	در طلب گریه خند خنده گری
خُلق او زیر این سراپرده	رحمها کرده زخمها خورده
سالها پیش چرخ با ندمی	ناگواریده خورد جانش همی
گلشکر داشت با خو از دل خود	زان نشد ایچ ناگوارش بد
خود کسی را که آن زبان دارد	ناگوارندگی زیان دارد
چون زبان از زیان خلق ببست	رفت و بر فوق فرق عرش نشست
قامتش چون خم رکوع آورد	عرش در پیش او خشوع آورد
بتشهّد دمی چو بنشستی	کمرهِ کوهِ قاف بگسستی
بهره داده وجود را به تمام	زان لب و دیده‌ها به سین سلام
بوده بحری همیشه محرابش	آتش عشقِ لم‌یزل آبش
اندر آن بیکرانه دریا بار	صدهزاران نهنگ مردم‌خوار
چون دم از حضرت سجود زدی	آتش اندر همه وجود زدی
خود جهان جملگی طفیلش بود	انس و جن کمترین خیلش بود
ماه راهش خسوف نپذیرد	شمس شرعش کسوف نپذیرد
برتر از فرش و عرش قدرش بود	قمهٔ عرش زیر صدرش بود
در ره مصطفی نژندی نیست	برتر از قدر او بلندی نیست
در ره او همه صعود بود	درگه او سرشت عود بود
تا ابد نور و حور در مهدش	پای بسته بمانده در عهدش
گر گشایند چنبرِ افلاک	شرع او را از آن نیاید باک
اسب گردون بمانده از آورد	مفرش شرع او نگیرد گرد
نفسی کز هوای عشقش خاست	طاقت آن نفس ز خلق کراست
شود از تفّ آن نفس چو نمود	موج دریا چو آتش نمرود
راه پیدا بود پر از آکفت	راه او جز نهفته نتوان رفت
از پی جان آن سرِ سادات	اشتر بارکش بداده زکات
ای دریغا که در جهان سخن	سر در انگشت می‌کشد ناخن
