ثلثة برزوا بفضلهم	نصرهم ربهم اذا نشروا
فلیس من مؤمن له بصر	ینکر تفضیلهم اذا ذکروا
عاشوا بلا فرقة ثلثهم	واجتمعوا فی‌الممات فاقبروا
آفتاب کرم چو در دربست	قمر نائبان کمر دربست
چون نهفت آفتاب دین را غرب	کرد ماه خلافت آخُر چرب
خواجهٔ با خلاص و با اخلاص	جانش آزاد کرد مجلس خاص
در سرای سرور مونس و یار	ثانی اثنین اذهما فی‌الغار
از زبان صادق و ز جان صدیق	چون نبی مشفق و چو کعبه عتیق
بوده از پاشنه طریقت سای	پیش جان رسول مار افسای
همهٔ خویش کرده در کارش	همه او گشته بهر دیدارش
بوده با ذات عشق پروردش	همره و هم مزاج و هم دردش
حرف بگذاشته چو دل سخنش	پوست بفگنده همچو مار تنش
هرچه حق بر دل محمّد خواند	برد و در باغ جان او بنشاند
چون نهال نهاد او برجست	غنچه بگشاد و میوه عقد ببست
هریکی شاخ میوه‌دار فره	نام آن میوه‌ها و صدق به
جبرئیل آمده برِ مهتر	به عیادت ز حق پیام‌آور
کای محمّد ز بهر خاست و نشست	در دندان خواجه بهتر هست
مهترش گفت چون ز خود بگریخت	وحی در جام جانم آنچه بریخت
که نه من آن شراب از سینه‌اش	ریختم بهر عهد دیرینه‌اش
بل به فرمان حق به استحقاق	ریختم نز ره ریا و نفاق
پیش از اسلام قابل دین بود	پیش از این رمزها سخن این بود
صدق او از پی سلامت راه	بوده ساحرشناس و کاهن‌کاه
بوده بر شه ره امانت و حدق	قدم صدق را به مقعد صدق
برفشاند به عشق عقل نوی	در قدوم رکاب مصطفوی
از نبوّت به جان ستاننده	هم پذیرنده هم رساننده
مشورت را وزیر پیغمبر	روز خلوت مشیر پیغمبر
انس با وی گرفته روح رسول	زانکه بُد فارغ از طریق فضول
جان فدا کرده بود در ره دین	زانکه بُد از نخست آگه دین
کرده بود انتظار خسرو شرع	بر دلش تافت زود پرتو شرع
سوی دل مصطفای آزاده	صدق او را دریچه بگشاده
سوی میدان سرِ پیمبر او	همه درها ببسته جز درِ او
جز عطیّت نبود حاصل او	تا چه دل داشت یارب آن دل او
شمع دین بود مصطفی جانش	جان بوبکر بود پروانش
زآنچه امّت ندیده یزدانش	هیچ ایمان‌پذیر چون جانش
پیش دین بنده هوش او بوده است	حلقه در گوش گوش او بوده است
گر دلش را وفا ندادی جوش	کس نبودی زبان دین را گوش
قابل صدق و قایل ایمان	عامل علم و حامل قرآن
درد دل را به سینه درمان او	خوان دین را نخست مهمان او
آنچه بشنید زود باور داشت	شرع را هفت عضو درخور داشت
جد صدقش به گوش مرد و ستور	کرده آواز غول را پی گور
خواجهٔ با وقار و آهسته	دست صدقش شکسته را بسته
