داعیانی که زادهٔ زمنند	بیشتر در هوای خویشتنند
از خودی خویش زین جهان برتر	وز بدی از اجل گلو بُرتر
همه چون از کتاب فهرستند	جز ترا سوی خویش نفرستند
رویشان چون پیاز لعل نکوست	چون نکو بنگری بود همه پوست
چون پیاز از لباس تو بر تو	لیک چون سیر گنده و بدبو
از یتیمان و بیوگان دیار	کرده دایم بطونشان پر نار
تا زبان در جدل قوی کردند	عقل را عاشق غوی کردند
زین کدو گردنان بی‌پر و بال	چون کدو زود بال و زود زوال
پست بالا چو نقطه جاه همه	تنگ میدان چو قطب راه همه
گشته ماهر ولی به جلد زدن	مستحق سیاط و جلد زدن
هوششان در سرای بی‌فریاد	باز چون گوش کرّ مادرزاد
کرده از بهرِ جاه و مال و مدد	سر ز شر دل ز ذُل جسد ز حسد
از پی کسب صدره و صرّه	صدق‌اللّٰه گوی بومرّه
شاکر از فعلشان شده ضحّاک	پیش هاروت در نشسته به خاک
از پی شرط شرع برگشته	تشنهٔ خون یکدگر گشته
قصد کرده به خون ساده‌دلان	اینچنین ناکسان مستحلان
از پی صید عامی و خامی	ساخته شرع و صدق را دامی
همه اندر بدی بهی دیده	همه از باد فربهی دیده
گرچه با یکدگر چو اصحابند	سفها بر مثال سیمابند
همچو سیماب بر کف مفلوج	از پی مال خلق و حرص فروج
به کرم کاهل و به زر مایل	جهلشان پیش علمشان حایل
پیش مردان دین چه لاف زنند	که عیال یتیم و بیوه زنند
چون حریص و حسود و دو رویند	به گرانی به یکدگر پویند
هرکه از خود زد از فضولی رای	دست ازو شست شرع بارْ خدای
همه از مال و جاه در شوو آی	همه یوسف فروش نابینای
همه بی‌مغز  دشمن عنبر	همه بیمار و عیب جوی هنر
همه زشتان آینه دشمن	همه خفّاش چشمهٔ روشن
