آن نبینی که پادشه‌زاده	که ورا ملکتست آماده
باشد اندر سرای و حجرهٔ خاص	بر سرش خادمان با اخلاص
تا به بازی فراش نگذارند	سال و مه پاس او همی دارند
آن وشاقان پر فغان و فضول	شده بر لهو یکدگر مشغول
در سرایی که بارگه باشد	زحمت و انبُه سپه باشد
همه را بر فلک رسیده خروش	بارگاه از فغانشان پر جوش
وآن ملک‌زاده ساعتی بی‌کار	نبود بی‌رقیب و بی‌کردار
تا نپوید به راه ناواجب	نبود بی‌اتابک و حاجب
نه به بازی و لهو پردازد	نه نپرسیده گفتن آغازد
آن چنانش نگاه می‌دارد	که یکی دم به هرزه برنارد
سرّ این چیست خود تو می‌دانی	زانکه مقصود کار دو جهانی
مر ترا تخت ملک منتظرست	از عبث جمله بخت بر حذرست
تو کز از نسل آدمی به نسب	پاک‌دار از عبث همیشه حسب
کار کن رنج کش بسان پدر	بازگردد ترا گهر به گهر
ورنه از آدمی ز شیطانی	هرچه خواهی بکن تو به دانی
ای دریغا که قیمت تن خویش	می‌ندانی سخن نگویم پیش
