بود وقتی منجّمی کانا	همچو اهل زمانه نابینا
پادشاهی ورا به خدمت خواند	گاه و بی‌گاه پیش خود بنشاند
پادشا مر ورا سؤالی کرد	مشکلش از ره محالی کرد
پادشا زیرک و جهان‌بین بود	ظاهر و باطنش پر از دین بود
گفت روزی برای خود بگزین	رو به تقویم حال خویش ببین
آن زمان کت همه کمال بُوَد	کوکب نحس در وبال بُوَد
طالعت را همه شرف باشد	حال تو بر تو منکشف باشد
هیچ نکبت نباشدت پیدا	خیز و دل شادمانه پیش من آ
تاترا خلعتی دهم در خور	تا شود فقر و فاقه‌ات کمتر
مرد ابله برفت و روز گزید	وآنچه مقصود شاه بود ندید
بامدادی بَرِ شه آمد زود	که از آن بهترینش روز نبود
شاه چون دید مرد را دلشاد	صد در از رنج و غم برو بگشاد
گفت در حال گردنش بزنید	بسته ویرا ز پیش من بکشید
مرد دژخیم مر ورا بکشید	برد واندر زمان سرش ببرید
می ندانست روز نیک از بد	بود تقلید امام او نه خرد
