ای بلبل بوستان معقول	طوطی شکر فشان معقول
ای بر سر تو لجام حکمت	وی در کف تو عنان معقول
مشاطهٔ منطق تو کرده	آرایش دختران معقول
وی از پی طعن دین نشانده	بر رمح جدل سنان معقول
وی ناخن بحث تو ز شبهه	رنگین شده بر میان معقول
رو چهرهٔ نازک شریعت	مخراش به ناخنان معقول
پنداشته‌ای که از حقیقت	مغزی است در استخوان معقول
بر سفرهٔ حکمت آزمودند	بس بی‌نمک است نان معقول
تیر نظرت ز کوری دل	کژ می‌رود از کمان معقول
سر بر نکنی به عالم قدس	از پایهٔ نردبان معقول
با حبل متین دین چرایی	پا بستهٔ ریسمان معقول
زردشت نه‌ای چرا شدستند	خلقی ز تو زند خوان معقول
شرح سخن محمدی کن	تا چند کنی بیان معقول
بر شه‌ره شرع مصطفی رو	نه در پی ره‌زنان معقول
کز منهج حق برون فتاده‌ست	آمد شد رهروان معقول
بانگ جرس ضلالت آید	پیوسته ز کاروان معقول
گوش دل خویشتن نگه‌دار	از بوعلی آن زبان معقول
نقد دغلی به زر مطلاست	در کیسهٔ زرگران معقول
در خانهٔ دین نخواهی آمد	ای مانده بر آستان معقول
بی فر همای شرع ماندی	چون جغد در آشیان معقول
چون باز سپید نقل دیدی	بگذار قراطغان معقول
اینجا که منم بهار شرع است	و آنجا که تویی خزان معقول
در معجزه منکری که کردی	شاگردی ساحران معقول
سودی نکنی ز دین تصور	این بس نبود زیان معقول
روشن دل چون چراغت ای دوست	تاریک شد از دخان معقول
هرگز نبود حرارت عشق	در طبع فسردگان معقول
از حضرت شاه انبیا علم	ای سخرهٔ جاودان معقول،
ما را ز خبر مثالها داد	نافذ همه بی‌نشان معقول
