قدرت کردگار می بینم	حالت روزگار می بینم
حکم امسال صورت دگر است	نه چو پیرار و پار می بینم
از نجوم این سخن نمی گویم	بلکه از کردگار می بینم
غین در دال چون گذشت از سال	بوالعجب کار و بار می بینم
در خراسان و مصر و شام و عراق	فتنه و کارزار می بینم
گرد آئینه ضمیر جهان	گرد و زنگ و غبار می بینم
همه را حال می شود دیگر	گر یکی در هزار می بینم
ظلمت ظلم ظالمان دیار	غصهٔ درد یار می بینم
قصهٔ بس غریب می شنوم	بی حد و بی شمار می بینم
جنگ و آشوب و فتنه و بیداد	از یمین و یسار می بینم
غارت و قتل و لشکر بسیار	در میان و کنار می بینم
بنده را خواجه وش همی یابم	خواجه را بنده وار می بینم
بس فرومایگان بی حاصل	عامل و خواندگار می بینم
هرکه او پار یار بود امسال	خاطرش زیر بار می بینم
مذهب ودین ضعیف می یابم	مبتدع افتخار می بینم
سکهٔ نو زنند بر رخ زر	در همش کم عیار می بینم
دوستان عزیز هر قومی	گشته غمخوار و خوار می بینم
هر یک از حاکمان هفت اقلیم	دیگری را دچار می بینم
نصب و عزل تبکچی و عمال	هر یکی را دوبار می بینم
ماه را رو سیاه می یابم	مهر را دل فَگار می بینم
ترک و تاجیک را به همدیگر	خصمی و گیر و دار می بینم
تاجر از دست دزد بی همراه	مانده در رهگذار می بینم
مکر و تزویر و حیله در هر جا	از صغار و کبار می بینم
حال هندو خراب می یابم	جور ترک و تتار می بینم
بقعه خیر سخت گشته خراب	جای جمع شرار می بینم
بعض اشجار بوستان جهان	بی بهار و ثمار می بینم
اندکی امن اگر بود آن روز	در حد کوهسار می بینم
همدمی و قناعت و کُنجی	حالیا اختیار می بینم
گرچه می بینم این همه غمها	شادئی غمگسار می بینم
غم مخور زانکه من در این تشویش	خرمی وصل یار می بینم
بعد امسال و چند سال دگر	عالمی چون نگار می بینم
چون زمستان پنجمین بگذشت	ششمش خوش بهار می بینم
نایب مهدی آشکار شود	بلکه من آشکار می بینم
پادشاهی تمام دانائی	سروری با وقار می بینم
هر کجا رو نهد بفضل اله	دشمنش خاکسار  می بینم
بندگان جناب حضرت او	سر به سر تاجدار می بینم
تا چهل سال ای برادر من	دور آن شهریار می بینم
دور او چون شود تمام به کار	پسرش یادگار می بینم
پادشاه و امام هفت اقلیم	شاه عالی تبار می بینم
بعد از او خود امام خواهد بود	که جهان را مدار می بینم
میم و حا ، میم و دال می خوانم	نام آن نامدار می بینم
صورت و سیرتش چو پیغمبر	علم و حلمش شعار می بینم
دین و دنیا از او شود معمور	خلق از او بختیار می بینم
ید و بیضا که باد پاینده	باز با ذوالفقار می بینم
مهدی وقت و عیسی دوران	هر دو را شهسوار  می بینم
گلشن شرع را همی بویم	گل دین را به بار می بینم
این جهان را چو مصر مینگرم	عدل او را حصار می بینم
هفت باشد وزیر  سلطانم	همه را کامکار می بینم
عاصیان از امام معصومم	خجل و شرمسار می بینم
بر کف دست ساقی وحدت	بادهٔ خوش گوار می بینم
غازی دوست دار دشمن کش	همدم و یار و غار می بینم
تیغ آهن دلان زنگ زده	کُند و بی اعتبار می بینم
زینت شرع و رونق اسلام	هر یکی را دو بار می بینم
گرک با میش شیر با آهو	در چرا برقرار می بینم
گنج کسری و نقد اسکندر	همه بر روی کار می بینم
ترک عیار مست می نگرم	خصم او در خمار می بینم
نعمت الله نشسته در کنجی	از همه بر کنار می بینم
