طواف درگه پیر حقیقت	اجازت نیست بی‌غسل طریقت
اگر ره بایدت در خلوت خاص	بپرس اول ره حمام اخلاص
معاذاله زهی فرخنده حمام	که آبش هست آب روی ایام
از آن فایض به خلوتخانهٔ گل	هوایی چون هوای خلوت دل
به تحت الارض خورشید جهان سوز	به گلخن تابی او شب کند روز
درونش را به چشم پاک بینان	صفای خاطر خلوت نشینان
برونش را برای تربیت روح	به هر جانب در سد فیض مفتوح
در فیضش به روی کس نبسته	در او وارستگان صف صف نشسته
چه در بیرون در ماندی دورن آی	بنه در مسلخ وارستگی پای
گذر بر صفهٔ پاک اعتقادی	نشین بر فرش عجز و نامرادی
کمر بند امل را عقده کن سست	میان آز بگشا چابک و چست
گشا بند قبای خود نمایی	برون آ از لباس خود ستایی
بنه از سر کلاه عجب و پندار	میارا تن به جبه ، سر به دستار
علایق از میان نه بر کرانه	بزن لنگ تجرد عاشقانه
برون آ از صف بالا نشینان	برو تا خلوت تنها نشینان
بریز آبی ز آب چشم نمناک	و گر آلایشی داری بشو پاک
چو خود را شستی از لوح مناهی	ز آب گریه‌های عذر خواهی
قدم در مجمع اهل صفا نه	برای خویشتن جانی صفا ده
گروهی بین همه از خویشتن عور	ز خود کرده لباس عاریت دور
همه از جبه و دستار عاری	برهنه از رسوم اعتباری
نشین و آب گرم گریه پیش آر	تو هم آبی به روی کار خویش آر
به سنگ ترک کن پای طلب پاک	ز چنگ قیدهای عالم خاک
توجه کن به دلاک هدایت	که آید بر سر کار عنایت
کشد بر سنگ رحمت پاکی جود	تراشد موی قید بود و نابود
بنا چون می‌شد این حمام دلکش	که آبش آشتی دارد به آتش
تفکر از پی تاریخ آن رفت	پی حمام نقلش بر زبان رفت
چو خواهی سال اتمامش بدانی	بگویم تا بدانی چون بخوانی
چو با فیض است و زو نبود جدا فیض	طلب تاریخش از حمام با فیض
