طلعت تو آفتاب دیگرست	زلف مشکینت سحاب دیگرست
یار مشکین زلفی و هر لحظه ات	با من مسکین عتاب دیگرست
از سر زلف بتابت هر نفس	در دل عشاق تاب دیگرست
وعدهٔ تو در بیابان امید	وصل جویان را سراب دیگرست
کس نیاید وصل تو ، کز هر طرف	پیش وصل تو حجاب دیگرست
در دلم آتش مزن ، کاکنون مرا	پیش شاه شرق آب دیگرست
ای بطلعت همچو ماه آسمان 	از تو روشن هم زمین و هم زمان 
همچو ماه آسمانی و ز غمت	من نمی دانم زمین از آسمان
از برای کشتن من گشته اند	غمزه و ابروی تو تیر و کمان
هست چشم و گردن آهو ترا 	لاجرم چون آهویی از من رمان
روی تو از روشنی همچو یقین 	حال من در تیرگی همچو گمان
هر چه با فرزانگان گردون کند 	تو کنی با بیدلان خود همان
جز جوار شاه عالم کی بود 	بیدلان را از جفای چرخ امان؟
فخر دین ، شروانشه عالم که ، هست 	عدل او در کشور دین قهرمان 
ای شده با عزم تو مقرون ظفر 	همت تو کرده از گردون گذر 
نامه و نام ترا عالی محل 	رایت و رأی ترا میمون اثر 
با جلال تو بود گردون زمین 	با نوال تو بود جیحون شمر 
کی شود از امر تو یکسو قضا ؟	کی رود از حکم تو بیرون قدر ؟
پیش دست تو ندارد وقت جود	صدهزاران نعمت قارون خطر
در مضا عزم شریفت چون قضا 	در ضیا رأی رفیعت چون قمر
از بنان تو شده پیدا کرم 	وز بیان تو شده مضمون هنر
چرخ می گوید: نیارم تا بحشر 	چون منوچهر شه افریدون دگر
ای مزین از فعال تو رسوم 	وی مبین از مثال تو علوم 
در خواطر از ثنای تو نقوش 	بر دفاتر از عطای تو رقوم
یمن اطراف تو تا حد یمن 	حسن آثار تو تا اکناف روم 
در وحل مانده ز صف تو اسود 	در خجل مانده ز کف تو غیوم
از وفاق تو نزاید جز طرب	وز نفاق تو نیابد جز هموم 
کر گارت عاصمی گشته قوی 	روزگارت خادمی گشته خدوم
سیرت تو هست عین سروری 	صورت تو هست محض صفدری 
مملکت چون جسم و تو چون دیده ای 	محمدت چون بحر و تو چون گوهری 
در علو قدر و در کنه شرف 	بر ملوک مشرق و مغرب سری
تو همه بیخ مضرت بر کنی 	تو همه فرش مسرت گستری 
بر ولی همچون نسیم جنتی 	بر عدو همچون سموم محشری
خیر و شر جمله گیتی پیش تست 	پس تو زین معنی سپهر دیگری 
جز حدیث حرب و کوشش نشنوی 	جز طریق جود و بخشش نسپری 
یک تنی در مسند دولت ولیک 	چون شوی در معرکه صد لشکری 
ای مکارم را یمینت رهنما	وی اکابر را بصدرت التجا 
چون تو ناورده ستاره شهریار 	چون تو نادیده زمانه پادشا
آسمان از قصر تو گیرد علو 	آفتاب از رأی تو گیرد ضیا
قصرک المیمون عالی جنة 	مستقر را للا نامی و العلا
مثل تو در دورهٔ آدم کدام ؟	شبه تو عرصهٔ عالم کجا
راس اهل الفضل فی اقدامه 	صانک الرحمن من فوق الردا 
ای ز دولت دست جاهت را سوار	هیچ میدان چون تو نادیده سوار
عدل تو بفزود زینت ملک را 	زینت ساعد بیفزاید سوار 
حزم تو چون خاک و عزم تو چو باد	لطف تو چون باد و عنف تو چو نار
حاسدان را دل ز رشک ملک تو 	پر شده از قطره های خون چو نار 
همچو بحری در مقام مکرمت 	همچو شیری از مضیق کارزار 
دشمن دین و عدوی شرع را 	گشته از تیغ و سنانت کارزار 
در بسیط مشرق و مغرب تویی 	پادشاه تاج بخش و تاجدار
تاجداری و ز خلاف تو شدند 	قاصدان دولت تو تاج دار
تاج فرشست از تو بر فرق هدی 	هست دنیا خاک پایت را فدی 
ملک و دین را ، کافتخار هر دویی 	یک ملک چون تو نبوده در هدی 
فیض بحر از جود تو زاید ، چنانک 	نظم ملک از عدل تو زاید همی
ای تو سید گشته از روی شرف 	بر سلاطین جهان وقت سری
هست مغرب را باسمت افتخار 	هست مشرق را برسمت اقتدی 
خصم شروان از تو بر نطع هلاک	همچو شاهست او فتاده در عری 
ای ابو الهیجا ، تویی و تخت ملک 	چون فریدون از جلال و از علی 
تو نصیر حقی و داری بحق 	از امیرالمؤمنین عهد اللوی
آفتاب از روی تو بر دست تاب 	خود ازین رویست فخر آفتاب
در سحاب از جود تو آمد اثر	زان بود خیرات عالم در سحاب
زور و تاب خسروان سهم تو بود	پیش سهم تو که آرد زور و تاب
صاب گردد از رفاق تو چو شهد	شهد گردد از خلاف تو چو صاب
در عذابند از کفت اعدای دین	کی سزند اعدای دین جز در عذاب
آب لطف از رقت خلق تو یافت	زان شدست اصل حیات خلق آب
خواب شمشیر تو بر دست از عدو	فتنه را کردست عدلت مست خواب
اضطراب افگنده تو در ملک خصم	باد فارغ ملک تو از اضطراب
بخت در پیمان شروانشاه باد	تخت در ایوان شروانشاه باد
عرصه گاه لشکر فتح و ظفر	عرصهٔ میدان شروانشاه باد
هر کجا اعدای دینرا غرقه ایست 	غرقهٔ توفان شروانشاه باد
خلق عالم ، عالم و جاهل همه	تابع فرمان شروانشاه باد
هر که در چین و ختن بربالشست	بندهٔ دربان شروانشاه باد
در زیادت از تو ملک و آسمه	ملک بی نقصان شروانشاه باد
رحمت ایزد، که روح روح اوست	بر تن و بر جان شروانشاه باد
